latin_species,n
Catharus aurantiirostris,2
Catharus bicknelli,3
Catharus dryas,1
Catharus frantzii,1
Catharus fuscescens,4
Catharus guttatus,4
Catharus mexicanus,1
Catharus minimus,5
Catharus occidentalis,1
Catharus ustulatus,5
Catherpes mexicanus,4
Cecropis daurica,1
Centrocercus minimus,3
Centrocercus urophasianus,3
Centronyx bairdii,1
Centronyx henslowii,1
Centropus burchelli,1
Centropus grillii,1
Centropus phasianinus,1
Centropus phqsianinus,1
Centropus sinensis,1
Centurus (Tripsurus) chrysogenys,1
Centurus (Tripsurus) pucherani,1
Centurus hypopolius,1
Centurus uropygialis,1
Cepphus columba,3
Cepphus grylle,8
Cercomacra tyrannina,1
Cercomela familiaris,1
Cercotrichas galactotes,2
Cereopsis novaehollandiae,1
Cerorhinca monocerata,3
Certhia americana,3
Certhia brachydactyla,3
Certhia familiaris,10
Certhionix niger,1
Certhionix pectoralis,1
Certhionix variegatus,1
Certhionyx niger,1
Certhionyx pectoralis,1
Certhionyx variegatus,1
Ceryle rudis,1
Cettia cetti,5
Cettia pallidipes,1
Chaetura pelagica,4
Chaetura vauxi,3
Chaimarrornis leucocephalus,1
Chalcophaps indica,3
Chamaea fasciata,2
Charadrius (Elseyornis) melanops,1
Charadrius (Thinornis) rubricollis,1
Charadrius alexandrinus,5
Charadrius asiaticus,2
Charadrius bicinctus,2
Charadrius collaris,1
Charadrius dubius,10
Charadrius hiaticula,11
Charadrius leschenaultii,4
Charadrius melodus,3
Charadrius mongolus,5
Charadrius montanus,3
Charadrius morinellus,6
Charadrius nivosus,3
Charadrius rubricollis,1
Charadrius ruficapillus,2
Charadrius semipalmatus,4
Charadrius tricollaris,1
Charadrius veredus,2
Charadrius vociferus,5
Charadrius wilsonia,3
Chen caerulescens,2
Chen canagica,2
Chen rossii,2
Chenonetta jubata,2
Cheramoeca leucosternum,1
Cheramoeca leucosternus,1
Chersophilus duponti,1
Chettusia gregaria,1
Chettusia leucura,1
Chichladusa arquata,1
Chiroxiphia linearis,1
Chlamydera cerviniventris,2
Chlamydera guttata,1
Chlamydera maculata,2
Chlamydera nuchalis,2
Chlidonias hybrida,1
Chlidonias hybridus,1
Chlidonias leucoptera,1
Chlidonias leucopterus,5
Chlidonias niger,10
Chlidonias niger surinamensis,1
